iShares MSCI USA Equal Weighted ETF
Inception Date,"May 5, 2010"
Fund Holdings as of,"30-Dec-2011"
Total Net Assets,"-"
Shares Outstanding,"4,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"OSHWQ","ORCHARD SUPPLY HARDWARE STORES COR","Equity","0.0001","3.76","19","$71","-","-","B7FNL98","US6856914048","Non-Nms Quotation Service (Nnqs)"
"OSHSQ","ORCHARD SUPPLY HARDWARE STORES PRE","Equity","0.0001","3.76","19","$71","-","-","B7FNL10","US6856915037","Non-Nms Quotation Service (Nnqs)"
"SHLD","SEARS HOLDINGS CORP","Equity","0.0118","31.78","450","$14,301","-","Consumer Discretionary","2634805","US8123501061","NASDAQ"
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.0126","18.87","810","$15,285","-","Industrials","B4QG225","US9100471096","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.0127","8.56","1,800","$15,408","-","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.0132","8.09","1,980","$16,018","-","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"DLB","DOLBY LABORATORIES INC. CL A","Equity","0.0136","30.51","540","$16,475","-","Information Technology","B04NJM9","US25659T1079","New York Stock Exchange Inc."
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.0161","376.81","52","$19,594","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"PCS","METROPCS COMMUNICATIONS INC.","Equity","0.0174","8.68","2,430","$21,092","-","Telecommunication Services","B02F228","US5917081029","New York Stock Exchange Inc."
"FSLR","FIRST SOLAR INC","Equity","0.0175","33.76","630","$21,269","-","Information Technology","B1HMF22","US3364331070","NASDAQ"
"WCRX","WARNER CHILCOTT PLC CLASS A","Equity","0.0179","15.13","1,439","$21,772","-","Health Care","B446CM7","IE00B446CM77","NASDAQ"
"DV","DEVRY EDUCATION GROUP INC","Equity","0.0200","38.46","630","$24,230","-","Consumer Discretionary","2267609","US2518931033","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.0206","17.35","1,440","$24,984","-","Financials","2793610","US7841171033","NASDAQ"
"CREE","CREE INC","Equity","0.0212","22.04","1,169","$25,765","-","Information Technology","2232351","US2254471012","NASDAQ"
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.0228","23.64","1,170","$27,659","-","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"SEE","SEALED AIR CORP","Equity","0.0230","17.21","1,620","$27,880","-","Materials","2232793","US81211K1007","New York Stock Exchange Inc."
"LVLT","LEVEL COMMUNICATIONS INC","Equity","0.0231","16.99","1,649","$28,017","-","Telecommunication Services","B5LL299","US52729N3089","New York Stock Exchange Inc."
"AVY","AVERY DENNISON CORP","Equity","0.0234","28.68","990","$28,393","-","Industrials","2066408","US0536111091","New York Stock Exchange Inc."
"EXPE","EXPEDIA INC","Equity","0.0234","29.02","979","$28,411","-","Consumer Discretionary","B748CK2","US30212P3038","NASDAQ"
"URS","URS CORP","Equity","0.0234","35.12","810","$28,447","-","Industrials","2910550","US9032361076","New York Stock Exchange Inc."
"CVD","COVANCE INC.","Equity","0.0237","45.72","630","$28,804","-","Health Care","2229029","US2228161004","New York Stock Exchange Inc."
"RRD","RR DONNELLEY AND SONS","Equity","0.0238","14.43","1,999","$28,846","-","Industrials","2276605","US2578671016","New York Stock Exchange Inc."
"MAN","MANPOWERGROUP","Equity","0.0238","35.75","810","$28,958","-","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"PDCO","PATTERSON COMPANIES INC","Equity","0.0240","29.52","989","$29,195","-","Health Care","2672689","US7033951036","NASDAQ"
"NLSN","NIELSEN HOLDINGS NV","Equity","0.0242","29.69","989","$29,363","-","Industrials","B4NTRF5","NL0009538479","New York Stock Exchange Inc."
"CVC","CABLEVISION SYSTEMS CORP CLASS A","Equity","0.0242","14.22","2,070","$29,435","-","Consumer Discretionary","2162243","US12686C1099","New York Stock Exchange Inc."
"HCBK","HUDSON CITY BANCORP INC","Equity","0.0250","6.25","4,859","$30,369","-","Financials","2437952","US4436831071","NASDAQ"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.0252","5.40","5,670","$30,618","-","Information Technology","2007849","US0079031078","NASDAQ"
"NDAQ","NASDAQ INC","Equity","0.0254","24.51","1,259","$30,858","-","Financials","2965107","US6311031081","NASDAQ"
"ACI","ARCH COAL INC.","Equity","0.0258","14.51","2,160","$31,342","-","Energy","2037181","US0393801008","New York Stock Exchange Inc."
"SPXC","SPX CORP","Equity","0.0260","60.27","523","$31,521","-","Industrials","2787185","US7846351044","New York Stock Exchange Inc."
"CLR","CONTINENTAL RESOURCES INC","Equity","0.0267","66.71","486","$32,421","-","Energy","B1XGWS3","US2120151012","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.0268","12.05","2,700","$32,535","-","Financials","2284084","US2644115055","New York Stock Exchange Inc."
"OI","OWENS ILLINOIS INC","Equity","0.0273","19.38","1,710","$33,140","-","Materials","2662862","US6907684038","New York Stock Exchange Inc."
"LEG","LEGGETT & PLATT INC","Equity","0.0273","23.04","1,440","$33,178","-","Consumer Discretionary","2510682","US5246601075","New York Stock Exchange Inc."
"TLK","TOLL BROTHERS","Equity","0.0274","20.42","1,629","$33,264","-","Consumer Discretionary","B012S11","US8894781033","Boerse Berlin"
"MHK","MOHAWK INDUSTRIES INC","Equity","0.0275","59.85","558","$33,396","-","Consumer Discretionary","2598699","US6081901042","New York Stock Exchange Inc."
"RCL","ROYAL CARIBBEAN CRUISES LTD","Equity","0.0275","24.77","1,350","$33,440","-","Consumer Discretionary","2754907","LR0008862868","New York Stock Exchange Inc."
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.0275","19.56","1,710","$33,448","-","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"H9B1","HERC HOLDINGS INC","Equity","0.0278","11.72","2,880","$33,754","-","Industrials","B1HKTD5","US42805T1051","Boerse Berlin"
"REG","REGENCY CENTERS REIT CORP","Equity","0.0279","37.62","900","$33,858","-","Financials","2726177","US7588491032","New York Stock Exchange Inc."
"MLM","MARTIN MARIETTA MATERIALS INC.","Equity","0.0279","75.41","450","$33,935","-","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.0282","6.55","5,219","$34,184","-","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.0283","32.17","1,068","$34,358","-","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC CL","Equity","0.0283","15.93","2,160","$34,409","-","Financials","B0LL8N0","US31620R1059","New York Stock Exchange Inc."
